,NB,AdaBoost,ANN,RNN
0,[0.37908058 0.72377017 0.37908058],[0.38163466 0.69889358 0.38163466],[0.3414714  0.33778468 0.27975348 0.47843286],[0.39540252 0.3956134  0.34360558 0.5118499 ]
1,[0.39865833 0.71795989 0.39865833],[0.32480262 0.71555708 0.32480262],[0.3578629  0.36236638 0.27961123 0.48089302],[0.42398864 0.4248059  0.3662462  0.5405918 ]
2,[0.35288581 0.72538366 0.35288581],[0.31620354 0.70879469 0.31620354],[0.32674506 0.31738183 0.26180407 0.4595451 ],[0.38192508 0.38320768 0.30238578 0.49419576]
3,[0.32262483 0.72892243 0.32262483],[0.28804131 0.72233032 0.28804131],[0.25516164 0.24041915 0.20474453 0.40125924],[0.28835207 0.26595458 0.20429069 0.4157634 ]
