,NB,AdaBoost,ANN,RNN
0,"[0.7466447548616817, 0.7451558591204829, 0.7466447548616817]","[0.7126814571350315, 0.6876935064654127, 0.7126814571350315]","[0.77978635, 0.8191985, 0.72226787, 0.91634864]","[0.77239114, 0.7984061, 0.7408929, 0.91540235]"
1,"[0.7482881402355519, 0.7578833218650347, 0.7482881402355519]","[0.7156943303204601, 0.7295397707062748, 0.7156943303204601]","[0.77129555, 0.8133926, 0.7019994, 0.9092636]","[0.77019995, 0.8091324, 0.7280197, 0.91242385]"
2,"[0.7280197206244864, 0.7339797138260792, 0.7280197206244864]","[0.6946042180224596, 0.6833724823258219, 0.6946042180224596]","[0.778143, 0.81769854, 0.71624213, 0.9127278]","[0.7611613, 0.8084841, 0.70994246, 0.90798503]"
3,"[0.7521227061079157, 0.7579871617047502, 0.7521227061079157]","[0.7165160230073953, 0.7060518935343564, 0.7165160230073953]","[0.7778691, 0.82630587, 0.719255, 0.9173203]","[0.75595725, 0.8351342, 0.6562586, 0.903736]"
