,NB,AdaBoost,ANN,RNN
0,[0.54385945 0.67620074 0.54385945],[0.56174085 0.66135752 0.56174085],[0.46692562 0.55138355 0.3898945  0.64023316],[0.40676603 0.42999774 0.36225146 0.5810736 ]
1,[0.54776176 0.68109476 0.54776176],[0.57109381 0.66666178 0.57109381],[0.4726892  0.5967272  0.3928338  0.64254814],[0.44597554 0.48923698 0.39431772 0.61596847]
2,[0.5441168  0.67131639 0.5441168 ],[0.56103945 0.62958067 0.56103945],[0.46875566 0.56875265 0.38420826 0.6405325 ],[0.39921826 0.45967594 0.34850284 0.5921894 ]
3,[0.5446943  0.68220884 0.5446943 ],[0.55897513 0.62581881 0.55897513],[0.46430796 0.56974256 0.37942985 0.6405464 ],[0.42100182 0.58791816 0.34651685 0.607821  ]
